SRR10742163,Col0_NT_GMUCT_rep1
SRR10742164,Col0_NT_GMUCT_rep2
SRR10742165,Col0_ABA_GMUCT_rep1
SRR10742166,Col0_ABA_GMUCT_rep2
SRR10742167,dxo1_NT_GMUCT_rep1
SRR10742168,dxo1_NT_GMUCT_rep2
SRR10742169,dxo1_ABA_GMUCT_rep1
SRR10742170,dxo1_ABA_GMUCT_rep2
SRR10742171,Col0_NT_NAD_rep1
SRR10742172,Col0_NT_NAD_rep2
SRR10742173,dxo1_NT_NAD_rep1
SRR10742174,dxo1_NT_NAD_rep2
SRR10742175,Col0_ABA_NAD_rep1
SRR10742176,Col0_ABA_NAD_rep2
SRR10742177,dxo1_ABA_NAD_rep1
SRR10742178,dxo1_ABA_NAD_rep2
SRR10742179,Col0_NT_total_rep1
SRR10742180,Col0_NT_total_rep2
SRR10742181,dxo1_NT_total_rep1
SRR10742182,dxo1_NT_total_rep2
SRR10742183,Col0_ABA_total_rep1
SRR10742184,Col0_ABA_total_rep2
SRR10742185,dxo1_ABA_total_rep1
SRR10742186,dxo1_ABA_total_rep2
